Final training run: final_rnn_h128_lr0p0005
================================================================================
Run: final_rnn_h128_lr0p0005
Config: TrainConfig(tokenized_path='data/corpus_tokenized.pkl', checkpoint_dir='checkpoints/final_models', checkpoint_name='final_rnn_h128_lr0p0005.pt', model_name='rnn', vocab_size=5000, seq_length=100, batch_size=64, embed_dim=128, hidden_dim=128, num_layers=1, dropout=0.0, window_size_k=5, learning_rate=0.0005, num_epochs=4, grad_clip=1.0, seed=42, run_generation_eval=False, tokenizer_path='data/gothic_tokenizer.json', generation_num_samples=50, generation_prompt_length=30, generation_temperature=0.8, generation_top_p=0.9, generation_output_path='results/final_models/final_rnn_h128_lr0p0005_generation')
  Batch 5600/12186 | Avg Train Loss: 4.1900
  Batch 5700/12186 | Avg Train Loss: 4.1895
  Batch 5800/12186 | Avg Train Loss: 4.1893
  Batch 5900/12186 | Avg Train Loss: 4.1889
  Batch 6000/12186 | Avg Train Loss: 4.1885
  Batch 6100/12186 | Avg Train Loss: 4.1882
  Batch 6200/12186 | Avg Train Loss: 4.1878
  Batch 6300/12186 | Avg Train Loss: 4.1875
  Batch 6400/12186 | Avg Train Loss: 4.1872
  Batch 6500/12186 | Avg Train Loss: 4.1868
  Batch 6600/12186 | Avg Train Loss: 4.1866
  Batch 6700/12186 | Avg Train Loss: 4.1862
  Batch 6800/12186 | Avg Train Loss: 4.1858
  Batch 6900/12186 | Avg Train Loss: 4.1853
  Batch 7000/12186 | Avg Train Loss: 4.1849
  Batch 7100/12186 | Avg Train Loss: 4.1845
  Batch 7200/12186 | Avg Train Loss: 4.1842
  Batch 7300/12186 | Avg Train Loss: 4.1838
  Batch 7400/12186 | Avg Train Loss: 4.1833
